Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;J. Mavambou;;;;;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;1;1;1;0;0;0;0;0;1;7;1;8;J. Mavambou
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;;;;;;;;;;;2;0;0;0;0;0;0;0;0;1;1;-4;2;22;E. Zemoura
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;16;0;2;2;0;3;0;0;1;2;4;8;12;26;A. Kone
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;2;5;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;4;Championat de France;Exterieur;;Toulouse;;Banc;TOTAUX EQUIPE;;;;;29;55;0,53;19;31;0,61;;;;20;25;0,80;19;30;9;13;41;13;9;88;5;24;29;21;19;8;0;2;18;24;0;96;0;TOTAUX EQUIPE
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;C. Legrand;;;;;;;;;;;0;2;0,00;;;;;;;;;;;8;1;2;3;3;3;1;2;0;2;2;-3;11;7;C. Legrand
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;10;2;9;11;2;0;4;0;0;5;4;2;19;10;J. Bailey
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;E. Marie;;;;;;;;0;1;0,00;;;;;;;;;;;;;;7;0;1;1;6;0;0;0;0;2;1;5;10;21;E. Marie
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;A. Kone;;;;;;;;;;;0;2;0,00;;;;;;;;;;;10;2;1;3;0;3;0;0;0;2;2;-11;4;26;A. Kone
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Starter;N. Enabosi;;;;;;;;;;;0;2;0,00;;;;;;;;;;;14;5;8;13;4;2;0;0;1;1;8;15;18;33;N. Enabosi
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;Y. Enjolvy;;;;;;;;0;1;0,00;;;;;;;;;;;;;;13;2;1;3;0;1;2;0;0;1;1;6;13;2;Y. Enjolvy
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;J. Mavambou;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;4;1;2;3;0;0;1;0;0;0;0;-1;4;8;J. Mavambou
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;A. Baker;;;;;;;;;;;0;2;0,00;0;1;0,00;;;;;;;;4;1;0;1;2;0;0;0;0;0;1;-1;2;15;A. Baker
25-26;5;Championat de France;Domicile;;Lattes Montpellier;Capitaine;Banc;K. Elenga(C);;;;;;;;0;2;0,00;;;;0;1;0,00;;;;;;;;6;0;1;1;1;2;0;0;0;0;1;3;-1;18;K. Elenga(C)
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;E. Zemoura;;;;;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;0;0;1;1;1;0;0;1;0;0;0;22;E. Zemoura
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;5;5;0;2;0;0;0;0;0;0;0;0;Team / Coach
25-26;5;Championat de France;Domicile;;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;24;67;0,36;15;34;0,44;;;;19;29;0,66;30;26;15;9;27;7;11;76;14;30;44;19;14;9;2;1;14;20;0;83;0;TOTAUX EQUIPE
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;C. Legrand;;;;;;;;;;;0;0;;;;;;;;;;;;3;2;1;3;0;0;1;0;1;1;2;-6;4;7;C. Legrand
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;10;1;3;4;3;5;5;0;1;3;3;-5;5;10;J. Bailey
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;E. Marie;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;2;0;1;1;0;0;0;0;0;1;2;-4;-1;21;E. Marie
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;A. Kone;;;;;;;;;;;0;2;0,00;;;;;;;;;;;17;2;4;6;0;1;0;1;1;3;4;-4;18;26;A. Kone
25-26;6;Championat de France;Exterieur;;Landerneau;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;10;2;3;5;0;1;1;0;1;2;3;-10;11;33;N. Enabosi
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;7;0;2;2;2;4;1;0;0;2;1;1;0;2;Y. Enjolvy
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;J. Mavambou;;;;;;;;;;;0;0;;0;0;;;;;;;;;4;1;3;4;0;0;1;0;0;1;1;0;9;8;J. Mavambou
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;A. Baker;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;4;0;2;2;3;1;1;0;0;2;1;-2;4;15;A. Baker
25-26;6;Championat de France;Exterieur;;Landerneau;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;6;6;0;1;0;0;1;3;0;0;4;18;K. Elenga(C)
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;E. Zemoura;;;;;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;3;0;-5;-2;22;E. Zemoura
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;6;Championat de France;Exterieur;;Landerneau;;Banc;TOTAUX EQUIPE;;;;;24;67;0,36;21;41;0,51;;;;;;;18;36;10;3;18;7;8;60;8;28;36;8;14;10;1;5;21;17;0;55;0;TOTAUX EQUIPE
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;Y. Enjolvy;;;;;;;;;;;0;3;0,00;;;;;;;;;;;4;0;2;2;2;2;1;0;0;1;2;-1;2;2;Y. Enjolvy
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;C. Legrand;;;;;;;;;;;;;;;;;;;;;;;;14;0;1;1;1;4;3;2;0;3;3;-11;13;7;C. Legrand
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;J. Bailey;;;;;;;;;;;0;2;0,00;;;;;;;;;;;8;1;3;4;3;4;1;0;1;3;2;-8;5;10;J. Bailey
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;8;1;3;4;1;2;0;0;0;1;2;-17;9;26;A. Kone
25-26;7;Championat de France;Domicile;;Basket Landes;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;15;2;4;6;1;2;2;0;1;2;6;2;16;33;N. Enabosi
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;J. Mavambou;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;1;2;0;0;0;1;0;-4;0;8;J. Mavambou
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;A. Baker;;;;;0;4;0,00;0;3;0,00;0;1;0,00;;;;;;;;;;;2;0;1;1;1;2;1;0;0;0;2;-13;-1;15;A. Baker
25-26;7;Championat de France;Domicile;;Basket Landes;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;3;3;0;0;1;2;0;1;0;-17;7;18;K. Elenga(C)
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;E. Marie;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;4;0;1;1;1;5;1;1;0;1;0;-13;0;21;E. Marie
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;E. Zemoura;;;;;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;2;0;-13;-2;22;E. Zemoura
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;1;4;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;7;Championat de France;Domicile;;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;19;48;0,40;16;34;0,47;;;;17;22;0,77;16;30;2;4;9;6;7;58;7;20;27;11;24;10;5;2;15;17;0;53;0;TOTAUX EQUIPE
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Starter;Y. Enjolvy;;;;;;;;0;1;0,00;;;;0;0;;;;;;;;;12;0;4;4;7;2;0;0;0;2;2;-17;16;2;Y. Enjolvy
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Starter;C. Legrand;;;;;;;;0;5;0,00;;;;;;;;;;;;;;9;0;0;0;7;4;1;0;1;2;3;-4;7;7;C. Legrand
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Starter;J. Mavambou;;;;;0;3;0,00;0;3;0,00;0;0;;;;;;;;;;;;2;0;2;2;1;2;0;0;0;0;3;-16;0;8;J. Mavambou
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Starter;A. Kone;;;;;;;;;;;0;0;;0;0;;;;;;;;;14;1;3;4;3;2;2;1;0;4;1;-9;18;26;A. Kone
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;14;0;4;4;3;1;1;1;2;3;9;-22;15;33;N. Enabosi
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Banc;L. Bagayoko;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;17;L. Bagayoko
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;Capitaine;Banc;K. Elenga(C);;;;;;;;0;1;0,00;;;;0;0;;;;;;;;;12;1;6;7;0;4;0;1;0;3;1;-4;11;18;K. Elenga(C)
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Banc;E. Marie;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;E. Marie
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Banc;E. Zemoura;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;4;0;2;2;2;5;2;0;1;3;0;-8;3;22;E. Zemoura
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;6;1;7;0;2;0;0;0;0;0;0;0;0;Team / Coach
25-26;8;Championat de France;Exterieur;;Charleville-Mézičres;;Banc;TOTAUX EQUIPE;;;;;22;53;0,42;13;33;0,39;;;;14;15;0,93;18;22;7;8;16;2;7;67;8;22;30;23;22;6;3;4;17;19;0;75;0;TOTAUX EQUIPE
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Starter;D. Lawrence;;;;;;;;;;;0;4;0,00;0;0;;;;;;;;;2;0;3;3;2;4;2;0;0;5;1;-18;1;1;D. Lawrence
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Starter;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;13;1;0;1;5;1;1;0;0;5;1;-14;13;2;Y. Enjolvy
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Starter;J. Bailey;;;;;;;;;;;0;3;0,00;;;;;;;;;;;5;2;7;9;2;3;2;0;0;4;5;-10;11;10;J. Bailey
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;;;;0;0;;;;;;;;;11;0;2;2;1;1;0;0;0;1;1;-21;5;18;K. Elenga(C)
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Starter;A. Kone;;;;;;;;;;;0;3;0,00;;;;;;;;;;;14;2;4;6;1;3;1;0;1;4;3;-8;6;26;A. Kone
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;C. Legrand;;;;;;;;;;;0;0;;;;;;;;;;;;7;1;3;4;1;2;1;0;0;3;4;-13;8;7;C. Legrand
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;J. Mavambou;;;;;;;;;;;0;0;;;;;;;;;;;;5;2;1;3;1;2;4;0;0;0;2;-4;9;8;J. Mavambou
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;L. Bagayoko;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;17;L. Bagayoko
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;E. Zemoura;;;;;;;;;;;0;1;0,00;;;;;;;;;;;3;1;3;4;1;2;0;0;0;2;2;-2;3;22;E. Zemoura
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;N. Enabosi;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;33;N. Enabosi
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;9;Championat de France;Domicile;;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;22;59;0,37;16;31;0,52;;;;;;;21;30;12;9;15;4;8;60;10;23;33;14;19;11;0;1;24;19;0;56;0;TOTAUX EQUIPE
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Starter;D. Laurence;;;;;;;;;;;;;;0;0;;;;;;;;;9;2;5;7;6;3;0;1;0;1;0;-12;10;1;D. Laurence
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Starter;Y. Enjolvy;;;;;;;;;;;0;5;0,00;0;0;;;;;;;;;6;0;0;0;4;1;0;0;0;2;0;-19;4;2;Y. Enjolvy
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Starter;J. Bailey;;;;;;;;;;;0;2;0,00;;;;;;;;;;;13;1;4;5;2;4;1;0;1;4;4;-6;14;10;J. Bailey
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Starter;A. Kone;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;10;2;2;4;2;1;1;0;0;3;0;-23;11;26;A. Kone
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;13;2;4;6;3;2;4;0;2;4;7;3;17;33;N. Enabosi
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;C. Legrand;;;;;;;;;;;0;0;;;;;;;;;;;;8;0;0;0;0;1;2;1;0;2;4;-13;8;7;C. Legrand
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;J. Mavambou;;;;;;;;;;;0;0;;0;0;;;;;;;;;2;0;0;0;0;1;0;0;1;1;0;-7;-1;8;J. Mavambou
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;2;2;0;1;0;0;0;2;0;-1;0;18;K. Elenga(C)
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;E. Marie;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;4;1;1;0;0;2;1;8;4;21;E. Marie
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;22;E. Zemoura
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;4;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;10;Championat de France;Exterieur;;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;27;61;0,44;25;40;0,63;;;;;;;14;44;8;5;13;9;6;64;9;19;28;21;15;9;2;4;21;16;0;71;0;TOTAUX EQUIPE
25-26;11;Championat de France;Domicile;;Roche Vendée;;Starter;D. Lawrence;;;;;;;;;;;;;;;;;;;;;;;;17;1;3;4;1;2;1;1;2;2;4;-3;10;1;D. Lawrence
25-26;11;Championat de France;Domicile;;Roche Vendée;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;13;2;4;6;7;0;4;0;0;4;6;-7;23;10;J. Bailey
25-26;11;Championat de France;Domicile;;Roche Vendée;;Starter;E. Marie;;;;;;;;;;;;;;0;2;0,00;;;;;;;;11;2;1;3;4;3;0;0;0;1;1;-5;8;21;E. Marie
25-26;11;Championat de France;Domicile;;Roche Vendée;;Starter;A. Kone;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;2;0;2;2;0;3;1;0;0;4;1;-7;-3;26;A. Kone
25-26;11;Championat de France;Domicile;;Roche Vendée;;Starter;N. Enabosi;;;;;;;;;;;0;0;;13;15;0,87;;;;;;;;15;3;7;10;0;1;1;0;1;4;10;-1;15;33;N. Enabosi
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;C. Legrand;;;;;;;;;;;0;1;0,00;;;;;;;;;;;3;4;0;4;3;3;2;1;0;3;1;5;5;7;C. Legrand
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;J. Mavambou;;;;;0;2;0,00;0;2;0,00;0;0;;;;;;;;;;;;1;2;1;3;0;0;2;0;0;1;2;-2;1;8;J. Mavambou
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;J. Francheteau;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;9;J. Francheteau
25-26;11;Championat de France;Domicile;;Roche Vendée;Capitaine;Banc;K. Elenga(C);;;;;;;;0;0;;;;;;;;;;;;;;;5;0;0;0;1;0;1;0;0;0;2;-2;4;18;K. Elenga(C)
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-3;-1;22;E. Zemoura
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;5;3;8;0;2;0;0;0;0;0;0;0;0;Team / Coach
25-26;11;Championat de France;Domicile;;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;20;62;0,32;14;39;0,36;;;;21;33;0,64;18;16;15;14;9;1;7;67;19;21;40;16;15;12;2;3;19;27;0;68;0;TOTAUX EQUIPE
25-26;12;Championat de France;Exterieur;;Bourges;;Starter;Y. Enjolvy;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;3;4;2;0;0;0;1;1;-25;9;2;Y. Enjolvy
25-26;12;Championat de France;Exterieur;;Bourges;;Starter;C. Legrand;;;;;;;;;;;0;1;0,00;;;;;;;;;;;5;2;1;3;1;2;0;1;1;4;1;-19;4;7;C. Legrand
25-26;12;Championat de France;Exterieur;;Bourges;;Starter;J. Bailey;;;;;;;;;;;;;;0;0;;;;;;;;;5;2;4;6;3;1;1;0;1;4;1;-20;8;10;J. Bailey
25-26;12;Championat de France;Exterieur;;Bourges;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;;;;;;;;;;;;;;11;1;2;3;1;2;1;0;0;0;3;-20;7;18;K. Elenga(C)
25-26;12;Championat de France;Exterieur;;Bourges;;Starter;N. Enabosi;;;;;;;;;;;0;0;;;;;;;;;;;;13;0;6;6;0;2;3;0;1;2;9;-16;11;33;N. Enabosi
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;J. Mavambou;;;;;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;1;1;2;2;1;0;0;0;0;-6;1;8;J. Mavambou
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;E. Marie;;;;;0;5;0,00;0;1;0,00;0;4;0,00;0;0;;;;;;;;;0;0;0;0;2;2;1;0;0;0;0;-15;-4;21;E. Marie
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;E. Zemoura;;;;;;;;;;;0;2;0,00;0;2;0,00;;;;;;;;2;2;1;3;0;0;0;0;0;3;2;-9;0;22;E. Zemoura
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;A. Kone;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;6;0;2;2;3;1;0;0;0;4;0;-20;7;26;A. Kone
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;4;0;3;0;0;0;0;0;0;0;0;Team / Coach
25-26;12;Championat de France;Exterieur;;Bourges;;Banc;TOTAUX EQUIPE;;;;;19;60;0,32;15;35;0,43;;;;;;;14;26;4;7;8;;8;52;9;22;31;16;17;7;1;3;18;17;0;44;0;TOTAUX EQUIPE
25-26;13;Championat de France;Domicile;;Charnay;;Starter;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;14;0;2;2;4;3;5;0;0;5;1;-8;13;2;Y. Enjolvy
25-26;13;Championat de France;Domicile;;Charnay;;Starter;C. Legrand;;;;;;;;;;;;;;0;0;;;;;;;;;9;1;2;3;3;2;1;1;0;4;0;-21;9;7;C. Legrand
25-26;13;Championat de France;Domicile;;Charnay;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;20;3;8;11;5;3;3;1;0;4;9;-2;29;10;J. Bailey
25-26;13;Championat de France;Domicile;;Charnay;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;;;;;;;;;;;;;;12;0;3;3;4;1;1;0;0;2;1;-15;13;18;K. Elenga(C)
25-26;13;Championat de France;Domicile;;Charnay;;Starter;N. Enabosi;;;;;;;;;;;0;0;;;;;;;;;;;;20;3;5;8;1;1;2;0;0;3;9;-15;21;33;N. Enabosi
25-26;13;Championat de France;Domicile;;Charnay;;Banc;J. Mavambou;;;;;;;;;;;0;0;;;;;;;;;;;;4;1;1;2;2;0;0;0;0;1;2;12;7;8;J. Mavambou
25-26;13;Championat de France;Domicile;;Charnay;;Banc;J. Francheteau;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;0;9;J. Francheteau
25-26;13;Championat de France;Domicile;;Charnay;;Banc;E. Marie;;;;;;;;0;1;0,00;;;;0;0;;;;;;;;;6;1;2;3;9;4;0;0;0;5;0;8;10;21;E. Marie
25-26;13;Championat de France;Domicile;;Charnay;;Banc;E. Zemoura;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;22;E. Zemoura
25-26;13;Championat de France;Domicile;;Charnay;;Banc;A. Kone;;;;;;;;;;;0;2;0,00;;;;;;;;;;;7;0;1;1;3;2;0;0;0;1;4;-2;3;26;A. Kone
25-26;13;Championat de France;Domicile;;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;13;Championat de France;Domicile;;Charnay;;Banc;TOTAUX EQUIPE;;;;;29;71;0,41;17;38;0,45;;;;22;29;0,76;19;34;8;19;17;15;14;92;10;26;36;31;16;12;2;0;25;26;0;108;0;TOTAUX EQUIPE
25-26;14;Championat de France;Exterieur;;Angers;;Starter;D. Lawrence;;;;;;;;;;;0;3;0,00;;;;;;;;;;;13;0;0;0;1;2;3;0;1;2;4;8;6;1;D. Lawrence
25-26;14;Championat de France;Exterieur;;Angers;;Starter;Y. Enjolvy;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;2;1;2;3;0;0;1;0;1;4;0;1;0;2;Y. Enjolvy
25-26;14;Championat de France;Exterieur;;Angers;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;13;2;4;6;3;4;2;0;1;2;2;11;13;10;J. Bailey
25-26;14;Championat de France;Exterieur;;Angers;Capitaine;Starter;K. Elenga(C);;;;;0;4;0,00;0;2;0,00;0;2;0,00;0;0;;;;;;;;;0;0;3;3;2;0;1;2;0;1;0;12;4;18;K. Elenga(C)
25-26;14;Championat de France;Exterieur;;Angers;;Starter;N. Enabosi;;;;;;;;;;;0;0;;0;1;0,00;;;;;;;;20;4;11;15;1;0;4;2;2;1;10;5;35;33;N. Enabosi
25-26;14;Championat de France;Exterieur;;Angers;;Banc;C. Legrand;;;;;;;;;;;0;0;;;;;;;;;;;;5;1;0;1;1;1;0;2;0;3;1;6;6;7;C. Legrand
25-26;14;Championat de France;Exterieur;;Angers;;Banc;J. Mavambou;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;J. Mavambou
25-26;14;Championat de France;Exterieur;;Angers;;Banc;E. Marie;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;2;0;2;2;7;4;3;0;0;2;1;6;8;21;E. Marie
25-26;14;Championat de France;Exterieur;;Angers;;Banc;E. Zemoura;;;;;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;1;2;3;0;0;0;0;0;1;1;-5;2;22;E. Zemoura
25-26;14;Championat de France;Exterieur;;Angers;;Banc;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;15;0;4;4;0;3;0;0;1;2;2;1;12;26;A. Kone
